GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
correotp_2023,com.correotp,BandejaEntrada,4,17,0,0,2,5,1,3,1,3
correotp_2023,com.correotp,BandejaSalida,0,21,0,0,0,7,0,4,0,4
correotp_2023,com.correotp,FiltroRemitente,0,33,1,5,0,8,1,4,0,2
correotp_2023,com.correotp,FiltroContenido,0,29,0,4,0,7,0,4,0,2
correotp_2023,com.correotp,Email,4,44,0,0,2,17,1,8,1,8
correotp_2023,com.correotp,FiltroUCP,1,45,2,6,0,10,2,5,0,3
correotp_2023,com.correotp,MailManager,0,42,0,2,0,11,0,4,0,3
correotp_2023,com.correotp,FiltroAsunto,0,29,0,4,0,7,0,4,0,2
correotp_2023,com.correotp,Contacto,8,45,0,0,4,15,2,8,2,8
correotp_2023,com.correotp,FiltroDestinatario,0,33,1,5,0,8,1,4,0,2
